SampleNumber	Tile	NumberOfReadsRaw	NumberOfReadsPF
1	2112	0	0
2	2112	0	0
3	2112	0	0
4	2112	0	0
5	2112	0	0
6	2112	0	0
7	2112	0	0
8	2112	0	0
0	2113	1689550	0
1	2113	0	0
2	2113	0	0
3	2113	0	0
4	2113	0	0
5	2113	0	0
6	2113	0	0
7	2113	0	0
8	2113	0	0
0	2114	1231794	37159
1	2114	72208	36104
2	2114	74394	37197
3	2114	96898	48449
4	2114	58432	29216
5	2114	80432	40216
6	2114	5686	2843
7	2114	80638	40319
8	2114	71054	35527
0	2115	1607042	0
1	2115	0	0
2	2115	0	0
3	2115	0	0
4	2115	0	0
5	2115	0	0
6	2115	0	0
7	2115	0	0
8	2115	0	0
0	2116	1228018	38357
1	2116	71474	35737
2	2116	73584	36792
3	2116	95438	47719
4	2116	58198	29099
5	2116	79860	39930
6	2116	5666	2833
7	2116	79696	39848
8	2116	71624	35812
0	2117	1846264	0
1	2117	0	0
2	2117	0	0
3	2117	0	0
4	2117	0	0
5	2117	0	0
6	2117	0	0
7	2117	0	0
8	2117	0	0
0	2118	1535462	0
1	2118	0	0
2	2118	0	0
3	2118	0	0
4	2118	0	0
5	2118	0	0
6	2118	0	0
7	2118	0	0
8	2118	0	0
0	2119	1695974	0
1	2119	0	0
2	2119	0	0
3	2119	0	0
4	2119	0	0
5	2119	0	0
6	2119	0	0
7	2119	0	0
8	2119	0	0
