SampleNumber	Tile	NumberOfReadsRaw	NumberOfReadsPF
0	1101	1834948	0
1	1101	0	0
2	1101	0	0
3	1101	0	0
4	1101	0	0
5	1101	0	0
6	1101	0	0
7	1101	0	0
8	1101	0	0
0	1102	603520	0
1	1102	0	0
2	1102	0	0
3	1102	0	0
4	1102	0	0
5	1102	0	0
6	1102	0	0
7	1102	0	0
8	1102	0	0
0	1103	601160	0
1	1103	0	0
2	1103	0	0
3	1103	0	0
4	1103	0	0
5	1103	0	0
6	1103	0	0
7	1103	0	0
8	1103	0	0
0	1104	1813548	0
1	1104	0	0
2	1104	0	0
3	1104	0	0
4	1104	0	0
5	1104	0	0
6	1104	0	0
7	1104	0	0
8	1104	0	0
0	1105	1828306	0
1	1105	0	0
2	1105	0	0
3	1105	0	0
4	1105	0	0
5	1105	0	0
6	1105	0	0
7	1105	0	0
8	1105	0	0
0	1106	1813816	0
1	1106	0	0
2	1106	0	0
3	1106	0	0
4	1106	0	0
5	1106	0	0
6	1106	0	0
7	1106	0	0
8	1106	0	0
0	1107	1795908	0
1	1107	0	0
2	1107	0	0
3	1107	0	0
4	1107	0	0
5	1107	0	0
6	1107	0	0
7	1107	0	0
8	1107	0	0
0	1108	1804354	0
1	1108	0	0
2	1108	0	0
3	1108	0	0
4	1108	0	0
5	1108	0	0
6	1108	0	0
7	1108	0	0
8	1108	0	0
0	1109	1655524	0
1	1109	0	0
2	1109	0	0
3	1109	0	0
4	1109	0	0
5	1109	0	0
6	1109	0	0
7	1109	0	0
8	1109	0	0
0	1110	1783306	0
1	1110	0	0
2	1110	0	0
3	1110	0	0
4	1110	0	0
5	1110	0	0
6	1110	0	0
7	1110	0	0
8	1110	0	0
0	1111	1751546	0
1	1111	0	0
2	1111	0	0
3	1111	0	0
4	1111	0	0
5	1111	0	0
6	1111	0	0
7	1111	0	0
8	1111	0	0
0	1112	1632494	0
1	1112	0	0
2	1112	0	0
3	1112	0	0
4	1112	0	0
5	1112	0	0
6	1112	0	0
7	1112	0	0
8	1112	0	0
0	1113	1777964	0
1	1113	0	0
2	1113	0	0
3	1113	0	0
4	1113	0	0
5	1113	0	0
6	1113	0	0
7	1113	0	0
8	1113	0	0
0	1114	1690998	0
1	1114	0	0
2	1114	0	0
3	1114	0	0
4	1114	0	0
5	1114	0	0
6	1114	0	0
7	1114	0	0
8	1114	0	0
0	1115	1845728	0
1	1115	0	0
2	1115	0	0
3	1115	0	0
4	1115	0	0
5	1115	0	0
6	1115	0	0
7	1115	0	0
8	1115	0	0
0	1116	601668	0
1	1116	0	0
2	1116	0	0
3	1116	0	0
4	1116	0	0
5	1116	0	0
6	1116	0	0
7	1116	0	0
8	1116	0	0
0	1117	1775834	0
1	1117	0	0
2	1117	0	0
3	1117	0	0
4	1117	0	0
5	1117	0	0
6	1117	0	0
7	1117	0	0
8	1117	0	0
0	1118	1713000	0
1	1118	0	0
2	1118	0	0
3	1118	0	0
4	1118	0	0
5	1118	0	0
6	1118	0	0
7	1118	0	0
8	1118	0	0
0	1119	1743286	0
1	1119	0	0
2	1119	0	0
3	1119	0	0
4	1119	0	0
5	1119	0	0
6	1119	0	0
7	1119	0	0
8	1119	0	0
0	2101	1850318	0
1	2101	0	0
2	2101	0	0
3	2101	0	0
4	2101	0	0
5	2101	0	0
6	2101	0	0
7	2101	0	0
8	2101	0	0
0	2102	1721244	0
1	2102	0	0
2	2102	0	0
3	2102	0	0
4	2102	0	0
5	2102	0	0
6	2102	0	0
7	2102	0	0
8	2102	0	0
0	2103	1666936	0
1	2103	0	0
2	2103	0	0
3	2103	0	0
4	2103	0	0
5	2103	0	0
6	2103	0	0
7	2103	0	0
8	2103	0	0
0	2104	1881324	0
1	2104	0	0
2	2104	0	0
3	2104	0	0
4	2104	0	0
5	2104	0	0
6	2104	0	0
7	2104	0	0
8	2104	0	0
0	2105	604674	0
1	2105	0	0
2	2105	0	0
3	2105	0	0
4	2105	0	0
5	2105	0	0
6	2105	0	0
7	2105	0	0
8	2105	0	0
0	2106	1749692	0
1	2106	0	0
2	2106	0	0
3	2106	0	0
4	2106	0	0
5	2106	0	0
6	2106	0	0
7	2106	0	0
8	2106	0	0
0	2107	1807710	0
1	2107	0	0
2	2107	0	0
3	2107	0	0
4	2107	0	0
5	2107	0	0
6	2107	0	0
7	2107	0	0
8	2107	0	0
0	2108	1714132	0
1	2108	0	0
2	2108	0	0
3	2108	0	0
4	2108	0	0
5	2108	0	0
6	2108	0	0
7	2108	0	0
8	2108	0	0
0	2109	1888554	0
1	2109	0	0
2	2109	0	0
3	2109	0	0
4	2109	0	0
5	2109	0	0
6	2109	0	0
7	2109	0	0
8	2109	0	0
0	2110	1743940	0
1	2110	0	0
2	2110	0	0
3	2110	0	0
4	2110	0	0
5	2110	0	0
6	2110	0	0
7	2110	0	0
8	2110	0	0
0	2111	1865146	0
1	2111	0	0
2	2111	0	0
3	2111	0	0
4	2111	0	0
5	2111	0	0
6	2111	0	0
7	2111	0	0
8	2111	0	0
0	2112	1779736	0
