sample,data_type,index,data_file
HUNDREDuM_primer,transcripts,A1,/shared/ngs/illumina/bloom_lab/190830_M03100_0474_000000000-CL3WR
TENuM_primer,transcripts,A2,/shared/ngs/illumina/bloom_lab/190830_M03100_0474_000000000-CL3WR
